tweet,processed_text,class
"&#128557;&#128557;&#128557; RT @VineForTheByrd: Bae: go text your hoes 
Me: https://t.co/5PAfEceL1i",bae text hoe,1
&#128557;&#128557;&#128557; RT @tryna_be_famous: Brees been trash since this.... http://t.co/EvYSf5JFkt,bree trash since,1
&#128557;&#128557;&#128557;&#128530; RT @KingHov1313: At work imma real Uncle Tom!&#128584;,work imma real uncle tom,2
&#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; RT @RealityyBites: Nope Thts not wht it says here.. RT @PeachDulce: I'm not a hoe. I'm a people person http://t.co/RJ1vIx7VCz,nope tht wht say hoe people person,1
&#128561;that bitch is from Moreno Valley........ &#128530;,bitch moreno valley,1
&#128563; RT @KingHov1313: They recruited buku fags in here!&#128563;...a warehouse is no place for them!&#128530;,recruit buku fag herea warehouse place,0
&#128563; RT @Pr3ttyN33: &#8220;@11wdNICK: I think all dem hoes on LAHHH regular....&#8221;my co worker was messing with Omarion bm &#128553;,think dem hoe lahhh regularmy worker mess omarion,1
&#128563; RT @UBoyRock17: &#128557;&#128557;&#128557; these hoes selfish,hoe selfish,1
"&#128563; RT @ariluvsall: Niccas y'all need lives, money, pussy, hobbies, or sum guidance ... Bunch of Petty miserable dick n a booty ass Boys ...",nicca yall ne live money pussy hobbie sum guidance bunch petty miserable dick booty ass boy,1
&#128563;&#128563;&#128563; RT @winterlove___: &#8220;@thisisyoungdj: Every girl got a #wcw and fake gay til it's time to eat sum pussy. But I'm &#128564;&#8221; not me &#128523; lol,every girl got wcw fake gay til time eat sum pussy lol,1
&#128563;Oh this bitch Midy must be crazy http://t.co/75LWvtD4oJ,bitch midy must crazy,1
&#128563;well damn.. RT @JackTheJokster: When ya side hoe claims you as her boyfriend https://t.co/jTJ2jJTfto,well damn side hoe claim boyfriend,1
&#128583;&#128583;&#128583;&#128583; can y'all females let this sink in for min? Moment of silence to get y'all bitches thinking right? http://t.co/cDN0dEYCkO,yall female let sink min moment silence get yall bitche think right,1
&#128588; RT @iDO_me2: this vodka be having all the hoes bent over&#128553;&#128131;,vodka hoe bent,1
&#128588;&#128588;&#128588; RT @MidCityAce: Y'all excited about that strip mall being built in Louisiana and Claiborne?? That bitch gone be in fiya!!!! &#128514;&#128514;,yall excit strip mall built louisiana claiborne bitch gone fiya,1
"&#128588;&#128588;&#128588;""@Datruthh_: Don't do em with my girl lol RT @thelaurenway: So when yall in threesomes does your girl eat the pussy too?""",dont girl lol yall threesome girl eat pussy,1
&#128588;&#128591; RT &#8220;@PlanetPOB: Real Men eat pussy.&#8221;,real men eat pussy,1
"&#128588;RT @Ke2yourheart I don't want my man txtn, tlkn, lookin, yet alone speakin to you hoes. I'm not insecure at ALL. y'all hoes CANT BE Trusted",dont want man txtn tlkn lookin yet alone speakin hoe insecure yall hoe cant trust,1
&#128588;RT @Nay_btw It amazes me how niggas can fuck w/ EVERY bitch but when a nigga try to talk to his bitch he wanna cry about it&#128533; I need answers,amaze nigga fuck every bitch nigga try talk bitch wanna cry ne answer,1
&#128700;&#128700;- you a little genius man i need you for a class so u can help a nig out but you cool af man,little geniu man ne clas help nig cool man,1
"&#191;Como se llama el ni&#241;o m&#225;s delgado de Jap&#243;n? Yocomo Poko

&#164;&#176;&#164;&#176; gino &#176;&#164;&#176;&#164;",como llama nio delgado japn yocomo poko gino,1
&#193;lbum de fotos: csitaly: [TS3]Fairy Tail - Satan Soul Mirajane Strauss made with The Sims 3. Happy... http://t.co/b4i8EiMux2,lbum foto csita tsfairy tail satan soul mirajane straus made sim happy,2
"&#193;lbum de fotos: gaywrites: In the Making, a project by and for queer students at Harvard, highlights the... http://t.co/XZQ9XmaQTf",lbum foto gaywrite mak project queer student harvard highlight,0
&#8216;Chillin&#8217; With My Homie Or What&#8217;s Left Of Him&#8217;: British Rapper Turned ISIS Jihadi Poses With Severed Head http://t.co/L9vMdNOXPg #tcot,chillin homie what left british rapper turn isi jihadi pose sever head tcot,2
"&#8220;@0ddtoddler: When people refer to their girlfriend as their ""bitch"" &#128528; ....&#8221; I know how it sounds but it's how we mean it lol",people refer girlfriend bitch know sound mean lol,1
"&#8220;@1_anddone: Fuck east st john and all they fans, familys , &amp; friends&#8221;

Shut yo bitch ass up",fuck east john fan family friend shut bitch ass,1
&#8220;@1muneyy: Had to unfollow that bitch .. thot bitch got me fired from Sonic&#8221;she must've tweeted,unfollow bitch thot bitch got fir sonicshe mustve tweet,1
"&#8220;@21Cvasquez: My brother is a bitch, pussy, faggot, etc.&#8221; you just like getting beat up don't you?",brother bitch pussy faggot etc like gett beat dont,1
&#8220;@239rell: If you got paid 2million dollars to eat a nugget of shit would u eat it?&#8221; Smash that bitch,got paid million dollar eat nugget shit would eat smash bitch,1
"&#8220;@2Blunts1Jorge: Lol bitch funny, i was over you from the min i tossed your ass to the curb&#128567;&#8221; &#128588;&#128557;",lol bitch funny min toss ass curb,1
&#8220;@2hood2bgud: @uce_INA &#128064;&#128066; a bitch is all ears...&#8221; My mama told me not to talk to bitches so...&#128564;&#128514;jk,bitch ear mama told talk bitche sojk,1
&#8220;@305MAYOR: Bad breath ain't cute not even if you a so called bad bitch and it's usually cause by a shitty attitude&#8221; unk ain't ever lied,bad breath aint cute even call bad bitch usual cause shitty attitude unk aint ever li,1
&#8220;@44BINKO: Denzy tryna hoe broski Izzy &#128553;&#8221;&#128514;,denzy tryna hoe broski izzy,1
&#8220;@4REALROY: @Vomitdatruth no more chunky nugs for you &#127795;&#8221; he doesn't even hook it up like that.,chunky nug doesnt even hook like,1
"&#8220;@50TysonRap: Aye nigga, who tryna freestyle?&#8221; You trash though lol",aye nigga tryna freestyle trash though lol,1
&#8220;@50TysonRap: Saw a homeless man sleeping in a box surrounded by bubble wrap. Must be his new alarm system.&#8221; You aren't even FUNNY bitch,saw homeles man sleep box surround bubble wrap must new alarm system arent even funny bitch,1
&#8220;@954Nole: This bitch is looking dumber and dumber by the minute.... &gt;&gt;&gt;&gt;&gt;&gt;&gt; @MattHomeTeam&#8221;,bitch look dumber dumber minute,1
"&#8220;@9acino_: Even though Trunks was one of the main characters, Dragon Ball GT was lowkey weak weak&#8221;

Nothing lowkey about it.. Shit was trash",even though trunk one main character dragon ball lowkey weak weak noth lowkey shit trash,1
&#8220;@ABadBitchCost_: omg yall should see this bag of weed dog this bitch like a .3 fasho lmfaooooo&#8221; &#128553;&#128514;,omg yall see bag we dog bitch like fasho lmfaooooo,1
&#8220;@AC_Hussle: 98% of women were sluts freshman year of college.&#8221; Let these hoes be great,women slut freshman year college let hoe great,1
&#8220;@ALaQuannD: Woaaaahh that coat though lol&#8221;nigga too warm in that hoe,woaaaahh coat though lolnigga warm hoe,1
&#8220;@ATrue_Cowboy: Truth about any distance for all you love birds out there! http://t.co/1Kqnw4LJ&#8221;,truth distance love bird,2
"&#8220;@A_Brown_30: Frogger, best game ever&#8221; only cuz You suck at flappy bird",frogger best game ever cuz suck flappy bird,2
&#8220;@A_Brown_30: Lmao Dylan just got called a pussy by Mr O himself @wagggggie&#8221; takes skill &#128527;&#128170;,lmao dylan got call pussy take skill,1
&#8220;@AbstractLife: @Nigel So you still rather have trash ass Geno Smith than Alex?!? You sick man&#8221; U still cant tell Alex sucks? You blind man,still rather trash ass geno smith alex sick man still cant tell alex suck blind man,1
&#8220;@AbstractLife: @NigelDixon1 @SeanTHarrington Orton is trash idc&#8221; he ain't been playing. Trashlex Smith only sat out Kaep took his spot.,orton trash idc aint play trashlex smith sat kaep took spot,2
&#8220;@AdamRotter: Watch: Prust tries to hit Hank during break play http://t.co/fZ6lxcS3ok&#8221; @BrandonPrust8 pussy attempt by a pussy #mtlhockey,watch prust trie hit hank break play pussy attempt pussy mtlhockey,1
&#8220;@AdderallHadMe: Adderall had me killing two birds with one stone http://t.co/wMiNpN64m2&#8221;&#128128;,adderall kill two bird one stone,2
&#8220;@Adrianmayer99: Fucking pussy&#8221; @JosephNoonan2,fuck pussy,1
&#8220;@Al_Teez: Fuck the cowboys. My birthday in two days hoe!&#8221;&#128530;,fuck cowboy birthday two day hoe,1
&#8220;@AlanaaaXP: Some of yall hoes nasty yall find out yall sharing or shared dick with a dirty ass female and still fuck the nigga &#128567;&#8221;,yall hoe nasty yall find yall shar shar dick dirty ass female still fuck nigga,1
&#8220;@AlexaDelsanter: This is awkward u fag @corleyhuff @vitchhhh http://t.co/HUDOhA6YQe&#8221; wonder who's awesome tank that is &#128522;,awkward fag wonder who awesome tank,0
&#8220;@AllEyesOnKIE: Been watching madea plays every night &#128514;&#8221;singing ass bitches,watch madea play every night sing ass bitche,1
"&#8220;@AlmightyCBoogie: @BenBornReadySMU @vivalakristia ion wanna hear it, then hoes faker than Momma Dee's teeth&#8221;&#128128;&#128128;",ion wanna hear hoe faker momma dee teeth,1
&#8220;@Alondra_Lu: Ain't that a bitch&#8221;,aint bitch,1
&#8220;@AmandaBynes: I Want You To Be Pussy Whipped&#8221; I'm yours,want pussy whipp,1
&#8220;@Amburger_6: Wtf is flappy bird&#8221; are you kidding me,wtf flappy bird kidd,2
"&#8220;@Amillinati_: Bro like I really enjoy like eating pussy from the back... It makes it more nasty, I like nasty haha &#128520;&#8221;you like eating ass 2",bro like real enjoy like eat pussy back make nasty like nasty haha like eat ass,1
&#8220;@Analyyxo: Say Something is the one Drake song I have to listen to when I'm in my feelings&#8221;fag,say someth one drake song listen feelingsfag,1
&#8220;@AndyyDotCom: Every female owns a thong &#8220;@Ben_Dough: If she wear thongs she a hoe lol&#8221;&#8221; both facts,every female own thong wear thong hoe lol fact,1
&#8220;@Ann_E_Lizabeth: I can't stop being a lil bitch&#8221;,cant stop lil bitch,1
"&#8220;@AnthonyCumia: RT @ispfemme: Another Jersey fail - what a cunt http://t.co/1tZpbHgMhP

-No pics needed. Animal.&#8221; 

Dem coloreds be wack",another jersey fail cunt pic need animal dem colored wack,1
&#8220;@AntiGlib: RT @nateyfu123: #Yankees Michael Pineda in his next start.. http://t.co/Zb1zWN0jet&#8221; @954Nole,yankee michael pineda next start,2
&#8220;@ArianaGrande: is this flappy bird shit a joke or........... http://t.co/L3xDYJypjI&#8221; on the real tho,flappy bird shit joke real tho,1
&#8220;@AriaunaDaVon: Did I just start crying? &#128553;&#128557;&#128514;&#8221; bitch &#128514;&#128514;&#128514;,start cry bitch,1
&#8220;@Asaprelli_: I hate girls who get drunk &amp; don't turn into hoes fvckin waste of alcohol&#8221; &#128514;&#128557;,hate girl get drunk dont turn hoe fvckin waste alcohol,1
&#8220;@Ashley_J12: Shout out to my momma cuz she didn't raise no hoe! &#128076;&#128079;&#128588;&#8221;,shout momma cuz didnt raise hoe,1
"&#8220;@AshlynWynns: I'm a ""mud shark"" because I have black friends. Makes perfect sense. &#128514;&#128557;&#128514;&#128557; #idiotic&#8221; @",mud shark black friend make perfect sense idiotic,2
&#8220;@Ashton5SOS: An itsy bitsy teeny weeny yellow pock-a-dot bikini&#8221; Polk Ashton. Polk,itsy bitsy teeny weeny yellow pockadot bikini polk ashton polk,2
&#8220;@Attractive_Bad: Yes Iam single I don't mess or talk to anyone . &#128524; no hoes just me &#128076;&#8221;,yes iam single dont mes talk anyone hoe,1
&#8220;@AustinMahone: just got a new fish it's albino and I named him shaquita #yee&#8221; bahaha,got new fish albino nam shaquita yee bahaha,2
"&#8220;@AyoO_Fettii: My Anaconda Don't 
My Anaconda Don't
My Anaconda Don't
Want None Unless You Got GOALS Hun &#58143;&#58113;&#128213;&#128218;&#128176;&#127969;&#128107;&#128141;&#8221; Smh . White Ass niggah .",anaconda dont anaconda dont anaconda dont want none unles got goal hun smh white ass niggah,1
&#8220;@AyyyeThatsChubb: I wish i had my dad in my life but the bitch ass nigga still think im not his child!&#8221; LMFAOOOO but damn that's sad cuh !,wish dad life bitch ass nigga still think child lmfaoooo damn that sad cuh,1
&#8220;@BEARly_sober Hoes really do b birds man &#128557;&#8221;this new to you?,hoe real bird man new,1
"&#8220;@BIGHOMIEMARKIE: &#8220;@1017_Sqquad: &#8220;@TODDIE_soPLAYER: @_Raygine bitch get out dem feelings and get some new dick&#128514;&#128514;&#128514; ""&#128064;&#128550;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128128;&#8221;&#128514;&#128514;&#8221;&#128128;&#128128;&#128128;&#128514;",bitch get dem feeling get new dick,1
&#8220;@BINDLE13: My momma aint raise no hoe&#8221;,momma aint raise hoe,1
&#8220;@BSBHForum: #BeatTheHabs #NYR http://t.co/okvhWHy3Vh&#8221; @CanadiensMTL #pussy,beatthehab nyr pussy,1
&#8220;@B_Davis0529: SMDH Eagles fans. You a bitch! RT @MikeMiss975: Hey Giants fans: Victor Cruz is over. Dance to that.&#8221; Hey watch it,smdh eagle fan bitch hey giant fan victor cruz dance hey watch,1
"&#8220;@BaabyD_: ""cause i look great bitch, fuck you mean?"" &#128557;&#128514;&#128514;&#8221;",cause look great bitch fuck mean,1
&#8220;@Badazz_jspates: I'm suppose to eat yo booty bitch wym&#8221; &#128557;&#128557;&#128557;,suppose eat booty bitch wym,1
"&#8220;@Banqq_Jayy: ""@1Jayee: &#8220;@ItsKeeJay: I can't remember all the girls I've smashed &#128563;&#128584;&#8221; On God.&#128588;""hoe shit&#8221; Not technically, it takes &#9996;&#65039;.",cant remember girl ive smash godhoe shit technical take,1
&#8220;@BarryClerjuste: I cried like a bitch after my first breakup. Never loved again lol&#8221;,cri like bitch first breakup never lov lol,1
&#8220;@BasebaIIVines: Michael Pineda hides pine tar...on his neck http://t.co/PJRKJeaY6h&#8221; fact that the Yankees cheat &#128077;&#128077;&#128077; Go Red Sox!! #Boston,michael pineda hide pine taron neck fact yankee cheat red sox boston,2
&#8220;@BasedChasen: Chad Jordan in this bitch&#8221; I'm crying,chad jordan bitch cry,1
"&#8220;@BasedChasen: Grandmas always b asking you ""Do you have a girlfriend???"" No....I got hoes tf you mean&#8221; real shit.",grandma alway ask girlfriend noi got hoe mean real shit,1
"&#8220;@BasedDevJay: bruh i'm telling you if she got 
zebra print bed sheets 9/10 she a hoe&#8221; @rachel_dority &#128514;&#128514;&#128514;",bruh tell got zebra print bed sheet hoe,1
&#8220;@BeardedGemini: &#8220;@GinaSanabria_: I have no hoes because yah nigga ain't shit&#8221;&#8221;,hoe yah nigga aint shit,1
&#8220;@BeautiifulVixen: Bitches love throwing that irrelevant shade &#9995;&#128553; go sit lil bitch .&#8221;&#128175;&#128175;&#128175;,bitche love throw irrelevant shade sit lil bitch,1
&#8220;@BeautyOfASinner: So they really deleted flappy bird from the App Store cus someone killed themselves over it &#128514;&#8221; foreal foreal ?? &#128561;&#128557;,real delet flappy bird app store cus someone kill foreal foreal,2
"&#8220;@BeenSlimm: Too many ""lil niggas"" on my TL. http://t.co/vqGezMMwWs&#8221; boosie got hoes",many lil nigga boosie got hoe,1
"&#8220;@Benkasso: I'll beat the pussy up, that's a hook right thur&#8221; &#128064;",ill beat pussy that hook right thur,1
&#8220;@BestOfAds: Rape? Cannibalism? You Won't Recognize The Original Versions Of These Fairy Tales http://t.co/PrnJ8EFAoi&#8221; man wtf,rape cannibalism wont recognize original version fairy tale man wtf,2
&#8220;@BetterAreTulips: Jose ur mean :/&#8221; I said ily stfu hoe,jose mean said ily stfu hoe,1
&#8220;@BetterAreTulips: girls are fucking retarded my back started cramping up man&#8221; it's the double d's,girl fuck retard back start cramp man double,1
"&#8220;@BigMamaaTee: There's a difference between being actually crazy &amp; aspiring crazy&#8221; real shit . I can't stand ""fake crazy"" bitches",there difference actual crazy aspir crazy real shit cant stand fake crazy bitche,1
&#8220;@BillieBoyMitch: @VSamone man I was bouta text all the bitches that ever told me that &#128514;&#8221;lmao you should,man bouta text bitche ever told lmao,1
"&#8220;@BixxhMakeMeRich: If u ask me, every bitch gay&#8221;or ""bi""",ask every bitch gayor,0
&#8220;@Black_Angelo25: First time with 3. Lol http://t.co/mITmFPvVLw&#8221; yuhhhh we hit that hoe!!,first time lol yuhhhh hit hoe,1
"&#8220;@BlizzyLC: @Vice504fly u need to be in someone's church negro!&#8221;ur absolutely right, but I work Sunday's but still no excuse.",ne someone church negrour absolute right work sunday still excuse,1
&#8220;@BlizzyLC: Police just tried to Rodney King a nigga...&#8221;happen to my nig out here,police tri rodney k niggahappen nig,1
"&#8220;@BlueEyeBeaner: Vienna sausage clit http://t.co/YY1Gj6oeds&#8221; 

I suck dat bitch. Don&#8217;t y&#8217;all eva believe a colored man don&#8217;t eat no pussay",vienna sausage clit suck dat bitch dont yall eva believe color man dont eat pussay,1
"&#8220;@BlueEyeBeaner: lesbian pussy taste like rainbow trout!&#8221;

#lezzzbehonest",lesbian pussy taste like rainbow trout lezzzbehonest,1
&#8220;@BobbyBudnic Oxtails and yellow rice is blasphemy&#8221; boneless,oxtail yellow rice blasphemy boneles,2
&#8220;@Boobah_: What's the symptoms for Ebola? My stomach been hurting b. I'm nervous&#8221;bitch you better not be we was drinking out same bottle,what symptom ebola stomach hurt nervousbitch better drink bottle,1
&#8220;@BookerTweet_: There's starving children in Africa but this bitch using bananas to plug her butt hole smh http://t.co/DjPgA7QAy5&#8221; wtf?&#128514;&#128514;,there starv children africa bitch us banana plug butt hole smh wtf,1
&#8220;@Bossman_Carl: I just wanna do something for somebody&#8221;boy sound desperate than hoe how you bout you start off and flat that nose of yours,wanna someth somebodyboy sound desperate hoe bout start flat nose,1
&#8220;@BrauC_O_DramA: Hate an overly hood girl... Aye hoe... We not listening to Keef all night &#128514;&#128514;&#8221; &#128514;&#128514;&#128514; I feel you,hate over hood girl aye hoe listen keef night feel,1
"&#8220;@Bre_ah_na: @what_evaittakes it's too early, don't annoy me&#8221;&#128563; don't come back from ya fun filled weekend and give me attitude hoe",ear dont annoy dont come back fun fill weekend give attitude hoe,1
"&#8220;@BreadTruckkBri: These hoes gon come &amp;&amp; go, i feel it.&#8221;",hoe gon come andand feel,1
"&#8220;@BroCulture: When life knocks you down, stand the fuck up and say ""You hit like a little bitch.""&#8221;",life knock stand fuck say hit like little bitch,1
"&#8220;@BurgerKing: Tweet how you #WatchLikeaKing. http://t.co/jrgG9Eq4Xv&#8221;

I #WatchLikeaKing fo da colored folk dying from dis shit food",tweet watchlikeak watchlikeak color folk dy dis shit food,1
"&#8220;@BurgerKing: What&#8217;s going to be your pick for #SelectionSunday? #2for5 #WatchLikeaKing http://t.co/aBam30gSk4&#8221;

Dis make colored folk happy",what go pick selectionsunday watchlikeak dis make color folk happy,2
&#8220;@CALL_ME_KiTTiE: @what_evaittakes haha imma catch Ebola Trynna keep myself warm lol&#8221;&#128514;&#128514;&#128514; ewww bitch well stay far away from me,haha imma catch ebola trynna keep warm lol ewww bitch well stay far away,1
&#8220;@CMRE24 &#8220;Sum wrong with the pussy&#8221;- Sweets&#8221;smh,sum wrong pussy sweetssmh,1
"&#8220;@CMRE24 wasn&#8217;t that great to me either RT @Ahki117: ""Equalizer"" was trash Denzel officially washed bruh&#8221;neither was flight",wasnt great either equalizer trash denzel official wash bruhneither flight,2
&#8220;@CRISTIAN__Dior: &#8220;@JoshRaggs: @WeDont_SmokeREG @CRISTIAN__Dior you tweaking rich homie is trash&#8221; you damn near still listen to lil b&#8221; wow &#128553;,tweak rich homie trash damn near still listen lil wow,1
&#8220;@CRYaboutitNIGGA: I get paid too chill.&#8221; Share the wealth Lil nicca,get paid chill share wealth lil nicca,2
&#8220;@Caiivs: On some real shit if I catch this bitch it's game on.&#8221;,real shit catch bitch game,1
&#8220;@CakeMamaa: Y'all hoes messy on god !&#8221;nbs&#128064;,yall hoe messy god nbs,1
"&#8220;@CallMeGb__: ""@BrittNaomi_: LMAO RT @ElEpicoRu: Tempted to send this http://t.co/ouc9KE3SCN"" ""fuckin hoe"" lmao&#8221;&#128557;&#128557;",lmao tempt send fuckin hoe lmao,1
&#8220;@CallNeeshCakey: I wanna go to this lil shit tonight...but the way how bitches faces be set up ...I be wantin to slap em when I see them&#8221;&#128553;&#128557;,wanna lil shit tonightbut way bitche face set wantin slap see,1
&#8220;@CallNeeshCakey: Kannie &amp; Vonnie some Tiny ass bitches&#128557;&#128557;&#128557;&#8221;&#128557;&#128079;&#128079; I HATED when you and crissi started calling us little body bitches in Hawaii,kannie vonnie tiny ass bitche hat crissi start call little body bitche hawaii,1
&#8220;@CaptainYankee2: Two of the best Yankees Derek Jeter and Joe Torre #JoeTorreDay http://t.co/XMyxfDBKOX&#8221; @jordan_luree,two best yankee derek jeter joe torre joetorreday,2
&#8220;@CauseWereGuys: One wrong move and consider your bitch mine http://t.co/01VJZqnaHh&#8221; @its_gabbyElla @Lyssa_Rae16,one wrong move consider bitch mine,1
&#8220;@CayMarieee: &#8220;@WhereYoHussleAt: @CayMarieee bitch&#8221; what u gone say bitch for. We're on the phone bitch.&#8221; Cuz to the let these Mfs know &#128514;,bitch gone say bitch phone bitch cuz let mfs know,1
"&#8220;@CayMarieee: I really hate this bitch, but she knows me best &#128149;&#128153;&#8221;",real hate bitch know best,1
&#8220;@CelebovickOTF: I hate a bitch that like to argue n shyt....:-)&#8221;,hate bitch like argue shyt,1
"&#8220;@ChanelleLeee: you boney little hoe ""@wizkhalifa: Smile for the day. http://t.co/DcXdFtjSjt&#8221;&#8221;

This is funny? :/",boney little hoe smile day funny,1
"&#8220;@CharlieDayQuote: Viet-goddamn-nam, that's what happened! Go get me a beer, bitch!&#8221; @John_Colman",vietgoddamnnam that happen get beer bitch,1
&#8220;@Cheddar85: Got the carburetor foyer my #chevy c10 being rebuilt by my #redneck friend ... everybodys got one!!&#8221; I need 1 they can build,got carburetor foyer chevy rebuilt redneck friend everybody got one ne build,1
&#8220;@CheyaGurr: @A_Mitchellll13 ur seriously a fag&#8221;don't hate,serious fagdont hate,1
&#8220;@Chhicoo: @VSamone stupid bitch!&#8221; http://t.co/K7MyvFlWFg,stupid bitch,1
&#8220;@Chris_cooper907: @AK_Mueller @B_Reason18 its Brandon motherfucking reason.&#8221; He's a bitch nigga,brandon motherfuck reason hes bitch nigga,1
"&#8220;@Chrissy_Cindy: ""WAKA TAMMY JUST GOT HER ASS BEAT""... http://t.co/9in5IysnpI&#8221; Ctfu how Niggas be they don't ever have they bitch back &#128514;&#128514;",waka tammy got ass beat ctfu nigga dont ever bitch back,1
"&#8220;@Chrissy_Cindy: If a bitch tweet ""I lose interest fast"" slide in her DMs cause she a Thot&#8221; good looks",bitch tweet lose interest fast slide dms cause thot good look,1
&#8220;@ChrizzyFive: Trying to run game on me u dumb bitch !!&#8221; @ her tho,try run game dumb bitch tho,1
"&#8220;@Chykalet ""I know I must make a lot of ya'll hoes sick &amp; all I can tell you hoes, get used to it bitch!""&#8221;",know must make lot yall hoe sick tell hoe get us bitch,1
&#8220;@CiddyP_60: I wouldn't trust a male cheerleader @ All cuz .&#8221; Cimarron got one &#128514; &amp; he got ALLLL the bitches,wouldnt trust male cheerleader cuz cimarron got one got allll bitche,1
&#8220;@Cinnnthia_: I'm just a bitch for no reason. I think I'm funny sometimes&#8221;,bitch reason think funny sometime,1
&#8220;@CiscoAllDay: @1Bcarter if by marrying her to avoid paying child support is a win then yeah lol&#8221;we don't see the hoes the same &amp; that's ok,marry avoid pay child support win yeah lolwe dont see hoe that,1
&#8220;@CiscoAllDay: @1Bcarter one of your side chicks came up 5k&#8221; them bitches know where I live I be hiding from my cuz @MaiaPapayyya_,one side chick came bitche know live hid cuz,1
&#8220;@CiscoAllDay: @1Bcarter you're right I'll take girl on the right over Kim any day http://t.co/nbKHCG0bZq&#8221;can u support that hoe?,youre right ill take girl right kim day support hoe,1
&#8220;@CiscoAllDay: Fuck all the Heat bandwagon riders... We know who you are&#8221; u sound like the hoes mad they man cheated with a fat booty bitch,fuck heat bandwagon rider know sound like hoe mad man cheat fat booty bitch,1
"&#8220;@CiscoAllDay: If Miley really got knocked up by Juicy J that shit is wild.... &#128563;&#8221; didn't he say ""u say no to ratchet pussy Juicy J can't""",miley real got knock juicy shit wild didnt say say ratchet pussy juicy cant,1
&#8220;@CiscoAllDay: If you have a different dude every other week you might be a hoe... #js&#8221;no your not don't listen to him ladies #DoU,different dude every week might hoe jsno dont listen ladie dou,1
&#8220;@ClassicPict: http://t.co/ZStrqBpwpw&#8221; shit like this is retarded.,shit like retard,1
"&#8220;@CoIlegefessions: ""Finally got a hot bitch to dance on me, came in my pants while she was grinding on me. Lost that chance""UW-Madison&#8221;lmao",final got hot bitch dance came pant grind lost chanceuwmadisonlmao,1
&#8220;@CodeeJames: That one ex you can't seem to get over&lt;&lt;&lt;&#8221; an is a cunt!!,one cant seem get cunt,1
"&#8220;@CodeineQueeeen: I'm tired of her corny vines, ugly faces, and stupid voices my nigga http://t.co/mstruehtDj&#8221;niggah she's sexy &#128561;",tir corny vine ug face stupid voice nigga she sexy,1
"&#8220;@Coley_Cee: @lil_aerii @__yhanaaaa @DTHANG_ lmfaoooo, bitch don't start.&#8221; Okay bitch",lmfaoooo bitch dont start okay bitch,1
&#8220;@Coley_Cee: @lil_aerii helloooo bitch?!&#8221; Bitch no ones available,helloooo bitch bitch one available,1
&#8220;@Coley_Cee: @lil_aerii upload our pictures&#8221;. Wat pictures bitch,upload picture wat picture bitch,1
&#8220;@ComedianSpank: Where the hoes at&#8221; shit u got em,hoe shit got,1
&#8220;@CommonBlackGirI: bitch that's ham on her face http://t.co/vSRAyShD5Y&#8221; @rachel_dority,bitch that ham face,1
&#8220;@CommonBlackGirI: here&#8217;s to all the kids who have never found their name on anything in a souvenir store&#8221; thanks mom for the ghetto name.,here kid never found name anyth souvenir store thank mom ghetto name,2
&#8220;@CommonManKFAN: And that's why mock drafts are a joke my friends.....&#8221;Anyone???,that mock draft joke friendsanyone,2
&#8220;@Condeezy3: What to do after the game....home alone and nothing to do...someone come chill?:) maybe go swimm&#8221; ima do ya bitch,gamehome alone noth dosomeone come chill maybe swimm ima bitch,1
"&#8220;@Crowdifornia: We agree... do you? http://t.co/4diz5NKYMN&#8221; FUCK YES, I DO! Send those illegal, wetbacks home!!!",agree fuck yes send illegal wetback home,0
&#8220;@CuffablePisces: TONY ROMO in my #Top10QBs bitches&#8221; http://t.co/17sA90xG2H,tony romo topqb bitche,1
&#8220;@DAMNfuckNEE I just wana eat some food. Drink some liq. Go to this party. And have a bad bitch waitin on a nigga when I return.&#8221;&#8221;,wana eat food drink liq party bad bitch waitin nigga return,1
&#8220;@DIYcookery: Oreo cookies&#128523; http://t.co/8zcjWW56Zz&#8221;bruh &#128525;&#128539;&#128553;,oreo cookie,2
&#8220;@DJZeeti: RT @DJZeeti: Black bitches turn 60 buy a hat and act like Jesus forgot they was fucking niggas in the park&#8221; LOOOOOL,black bitche turn buy hat act like jesu forgot fuck nigga park loooool,1
"&#8220;@DJ_D_RAC: Fuck driving stick, it's gay as fuck&#8221; shit pussies say",fuck driv stick gay fuck shit pussie say,1
"&#8220;@DShmee: Tom Brady slowly becoming washed?&#128064;&#8221;

Nah.. His weapons just trash",tom brady slow becom wash nah weapon trash,2
"&#8220;@DStacks__23: If you aint got shit goin for ya self, what bitch gone want you&#8221;&#10071;&#65039;&#10071;&#65039;&#10071;&#65039;",aint got shit goin self bitch gone want,1
&#8220;@Da_LoveBelow @bdvg_lat @DrTruth247 yall bare hoes yall dnt care bout ??&#8221; I spent my childhood in a wild hood,yall bare hoe yall dnt care bout spent childhood wild hood,1
"&#8220;@Damino96: &#8220;I&#8217;m afraid of commitment&#8221; 
-A hoe&#8221;",afraid commitment hoe,1
&#8220;@DammitSlimm: ppl who think webbie betta then boosie jus retarded&#8221;,ppl think webbie betta boosie jus retard,1
&#8220;@Damn_ImTall: Anybody that gets traded straight up for Brandon knight is trash @BrandonJennings&#8221;@BushALMIGHTY,anybody get trad straight brandon knight trash,1
